--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'svchost.exe', 'pid': 3304, 'username': None, 'vms': 3.734375}
{'name': 'csrss.exe', 'pid': 3340, 'username': None, 'vms': 2.53515625}
{'name': 'svchost.exe', 'pid': 3376, 'username': None, 'vms': 36.96484375}
{'name': 'svchost.exe', 'pid': 3460, 'username': None, 'vms': 2.5859375}
{'name': 'svchost.exe', 'pid': 3468, 'username': None, 'vms': 2.76953125}
{'name': 'chrome.exe', 'pid': 3512, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 6.484375}
{'name': 'svchost.exe', 'pid': 3672, 'username': None, 'vms': 2.41796875}
{'name': 'svchost.exe', 'pid': 3744, 'username': None, 'vms': 6.359375}
{'name': 'dasHost.exe', 'pid': 3808, 'username': None, 'vms': 0.93359375}
{'name': 'svchost.exe', 'pid': 3840, 'username': None, 'vms': 4.7109375}
{'name': 'spoolsv.exe', 'pid': 3888, 'username': None, 'vms': 12.78125}
{'name': 'svchost.exe', 'pid': 3924, 'username': None, 'vms': 11.94921875}
{'name': 'svchost.exe', 'pid': 3952, 'username': None, 'vms': 1.96875}
{'name': 'svchost.exe', 'pid': 4036, 'username': None, 'vms': 10.6953125}
{'name': 'svchost.exe', 'pid': 4108, 'username': None, 'vms': 1.50390625}
{'name': 'svchost.exe', 'pid': 4160, 'username': None, 'vms': 1.453125}
{'name': 'svchost.exe', 'pid': 4208, 'username': None, 'vms': 1.44140625}
{'name': 'QcomWlanSrvx64.exe', 'pid': 4220, 'username': None, 'vms': 1.30859375}
{'name': 'svchost.exe', 'pid': 4228, 'username': None, 'vms': 5.00390625}
{'name': 'esif_uf.exe', 'pid': 4236, 'username': None, 'vms': 1.78125}
{'name': 'svchost.exe', 'pid': 4244, 'username': None, 'vms': 4.0078125}
{'name': 'dwm.exe', 'pid': 4248, 'username': None, 'vms': 57.9140625}
{'name': 'AdminService.exe', 'pid': 4252, 'username': None, 'vms': 2.28125}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 4280, 'username': None, 'vms': 36.1484375}
{'name': 'shareitservice.exe', 'pid': 4296, 'username': None, 'vms': 19.2421875}
{'name': 'armsvc.exe', 'pid': 4304, 'username': None, 'vms': 1.56640625}
{'name': 'SynTPEnhService.exe', 'pid': 4312, 'username': None, 'vms': 1.32421875}
{'name': 'HPPrintScanDoctorService.exe', 'pid': 4336, 'username': None, 'vms': 1.546875}
{'name': 'chrome.exe', 'pid': 4344, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 25.29296875}
{'name': 'WavesSysSvc64.exe', 'pid': 4388, 'username': None, 'vms': 3.77734375}
{'name': 'svchost.exe', 'pid': 4416, 'username': None, 'vms': 3.125}
