--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 3148, 'username': None, 'name': 'SearchFilterHost.exe', 'vms': 1.47265625}
{'pid': 3156, 'username': None, 'name': 'RtkAudioService64.exe', 'vms': 1.9140625}
{'pid': 3184, 'username': None, 'name': 'svchost.exe', 'vms': 11.03515625}
{'pid': 3208, 'username': None, 'name': 'svchost.exe', 'vms': 2.1640625}
{'pid': 3304, 'username': None, 'name': 'svchost.exe', 'vms': 3.80859375}
{'pid': 3340, 'username': None, 'name': 'csrss.exe', 'vms': 2.59765625}
{'pid': 3376, 'username': None, 'name': 'svchost.exe', 'vms': 37.16015625}
{'pid': 3460, 'username': None, 'name': 'svchost.exe', 'vms': 2.875}
{'pid': 3468, 'username': None, 'name': 'svchost.exe', 'vms': 2.8515625}
{'pid': 3512, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 6.484375}
{'pid': 3672, 'username': None, 'name': 'svchost.exe', 'vms': 2.41796875}
{'pid': 3744, 'username': None, 'name': 'svchost.exe', 'vms': 6.41015625}
{'pid': 3808, 'username': None, 'name': 'dasHost.exe', 'vms': 0.93359375}
{'pid': 3840, 'username': None, 'name': 'svchost.exe', 'vms': 4.7109375}
{'pid': 3888, 'username': None, 'name': 'spoolsv.exe', 'vms': 12.78125}
{'pid': 3924, 'username': None, 'name': 'svchost.exe', 'vms': 11.75390625}
{'pid': 3952, 'username': None, 'name': 'svchost.exe', 'vms': 1.8671875}
{'pid': 4024, 'username': None, 'name': 'svchost.exe', 'vms': 3.78515625}
{'pid': 4036, 'username': None, 'name': 'svchost.exe', 'vms': 10.74609375}
{'pid': 4108, 'username': None, 'name': 'svchost.exe', 'vms': 1.50390625}
{'pid': 4160, 'username': None, 'name': 'svchost.exe', 'vms': 1.453125}
{'pid': 4208, 'username': None, 'name': 'svchost.exe', 'vms': 1.38671875}
{'pid': 4220, 'username': None, 'name': 'QcomWlanSrvx64.exe', 'vms': 1.30859375}
{'pid': 4228, 'username': None, 'name': 'svchost.exe', 'vms': 5.00390625}
{'pid': 4236, 'username': None, 'name': 'esif_uf.exe', 'vms': 1.78125}
{'pid': 4244, 'username': None, 'name': 'svchost.exe', 'vms': 4.25390625}
{'pid': 4248, 'username': None, 'name': 'dwm.exe', 'vms': 59.09375}
{'pid': 4252, 'username': None, 'name': 'AdminService.exe', 'vms': 2.22265625}
{'pid': 4280, 'username': None, 'name': 'OneApp.IGCC.WinService.exe', 'vms': 36.1875}
{'pid': 4296, 'username': None, 'name': 'shareitservice.exe', 'vms': 19.2421875}
{'pid': 4304, 'username': None, 'name': 'armsvc.exe', 'vms': 1.56640625}
{'pid': 4312, 'username': None, 'name': 'SynTPEnhService.exe', 'vms': 1.32421875}
{'pid': 4336, 'username': None, 'name': 'HPPrintScanDoctorService.exe', 'vms': 1.546875}
{'pid': 4388, 'username': None, 'name': 'WavesSysSvc64.exe', 'vms': 3.77734375}
{'pid': 4416, 'username': None, 'name': 'svchost.exe', 'vms': 3.125}
{'pid': 4476, 'username': None, 'name': 'WMIRegistrationService.exe', 'vms': 2.49609375}
{'pid': 4500, 'username': None, 'name': 'svchost.exe', 'vms': 2.98828125}
{'pid': 4520, 'username': None, 'name': 'svchost.exe', 'vms': 1.328125}
{'pid': 4628, 'username': None, 'name': 'svchost.exe', 'vms': 2.30078125}
