--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 00:11:41 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 2972, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'dptf_helper.exe', 'vms': 1.3125}
{'pid': 3104, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Video.UI.exe', 'vms': 20.30078125}
{'pid': 3116, 'username': None, 'name': 'svchost.exe', 'vms': 4.34765625}
{'pid': 3132, 'username': None, 'name': 'svchost.exe', 'vms': 2.15234375}
{'pid': 3148, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SynTPEnh.exe', 'vms': 6.85546875}
{'pid': 3156, 'username': None, 'name': 'RtkAudioService64.exe', 'vms': 1.8515625}
{'pid': 3184, 'username': None, 'name': 'svchost.exe', 'vms': 7.984375}
{'pid': 3208, 'username': None, 'name': 'svchost.exe', 'vms': 1.88671875}
{'pid': 3300, 'username': None, 'name': 'svchost.exe', 'vms': 1.8515625}
{'pid': 3304, 'username': None, 'name': 'svchost.exe', 'vms': 3.26171875}
{'pid': 3376, 'username': None, 'name': 'svchost.exe', 'vms': 27.79296875}
{'pid': 3460, 'username': None, 'name': 'svchost.exe', 'vms': 2.546875}
{'pid': 3468, 'username': None, 'name': 'svchost.exe', 'vms': 2.7109375}
{'pid': 3540, 'username': None, 'name': 'RAVBg64.exe', 'vms': 5.859375}
{'pid': 3620, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 11.71875}
{'pid': 3672, 'username': None, 'name': 'svchost.exe', 'vms': 2.3515625}
{'pid': 3744, 'username': None, 'name': 'svchost.exe', 'vms': 6.25}
{'pid': 3808, 'username': None, 'name': 'dasHost.exe', 'vms': 0.93359375}
{'pid': 3840, 'username': None, 'name': 'svchost.exe', 'vms': 2.640625}
{'pid': 3888, 'username': None, 'name': 'spoolsv.exe', 'vms': 12.75390625}
{'pid': 3924, 'username': None, 'name': 'svchost.exe', 'vms': 11.4296875}
{'pid': 3952, 'username': None, 'name': 'svchost.exe', 'vms': 1.88671875}
