--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'svchost.exe', 'username': None, 'pid': 4056, 'vms': 11.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 4088, 'vms': 1.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 4268, 'vms': 28.38671875}
{'name': 'svchost.exe', 'username': None, 'pid': 4272, 'vms': 10.37109375}
{'name': 'svchost.exe', 'username': None, 'pid': 4288, 'vms': 25.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4336, 'vms': 10.55078125}
{'name': 'NisSrv.exe', 'username': None, 'pid': 4356, 'vms': 4.78515625}
{'name': 'AdminService.exe', 'username': None, 'pid': 4364, 'vms': 2.28515625}
{'name': 'esif_uf.exe', 'username': None, 'pid': 4400, 'vms': 1.79296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4416, 'vms': 1.58984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4444, 'vms': 1.45703125}
{'name': 'svchost.exe', 'username': None, 'pid': 4464, 'vms': 5.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4472, 'vms': 2.7265625}
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 4568, 'vms': 35.8359375}
{'name': 'QcomWlanSrvx64.exe', 'username': None, 'pid': 4576, 'vms': 1.3203125}
{'name': 'HPPrintScanDoctorService.exe', 'username': None, 'pid': 4588, 'vms': 4.7734375}
{'name': 'msedge.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 4600, 'vms': 2.0078125}
{'name': 'SecurityHealthSystray.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 4604, 'vms': 1.671875}
{'name': 'RuntimeBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 4608, 'vms': 4.59375}
{'name': 'SynTPEnhService.exe', 'username': None, 'pid': 4620, 'vms': 1.34765625}
{'name': 'WavesSysSvc64.exe', 'username': None, 'pid': 4628, 'vms': 2.3515625}
{'name': 'shareitservice.exe', 'username': None, 'pid': 4636, 'vms': 18.7421875}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 4676, 'vms': 2.54296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4704, 'vms': 1.328125}
{'name': 'svchost.exe', 'username': None, 'pid': 4792, 'vms': 15.14453125}
{'name': 'svchost.exe', 'username': None, 'pid': 4880, 'vms': 2.26171875}
{'name': 'LMS.exe', 'username': None, 'pid': 4912, 'vms': 2.8125}
{'name': 'svchost.exe', 'username': None, 'pid': 4984, 'vms': 4.890625}
{'name': 'svchost.exe', 'username': None, 'pid': 5012, 'vms': 3.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 5044, 'vms': 2.93359375}
{'name': 'SearchApp.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 5124, 'vms': 164.49609375}
{'name': 'jhi_service.exe', 'username': None, 'pid': 5128, 'vms': 1.2890625}
{'name': 'RAVBg64.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 5172, 'vms': 4.21484375}
{'name': 'CodeSetup-stable-863d2581ecda6849923a2118d93a088b0745d9d6.tmp', 'username': 'VAIBHAVPATIL\\admin', 'pid': 5424, 'vms': 23.28125}
{'name': 'svchost.exe', 'username': None, 'pid': 5444, 'vms': 9.51953125}
{'name': 'dllhost.exe', 'username': None, 'pid': 5712, 'vms': 4.0703125}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 5852, 'vms': 2.1796875}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 5924, 'vms': 35.3828125}
{'name': 'svchost.exe', 'username': None, 'pid': 5984, 'vms': 6.09375}
{'name': 'conhost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 5992, 'vms': 7.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 6220, 'vms': 1.60546875}
{'name': 'svchost.exe', 'username': None, 'pid': 6356, 'vms': 1.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 6384, 'vms': 3.046875}
{'name': 'atieclxx.exe', 'username': None, 'pid': 6556, 'vms': 2.4609375}
{'name': 'svchost.exe', 'username': None, 'pid': 6988, 'vms': 2.14453125}
{'name': 'dwm.exe', 'username': None, 'pid': 7160, 'vms': 64.2578125}
{'name': 'WavesSvc64.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 7184, 'vms': 15.5546875}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 7188, 'vms': 3.90625}
{'name': 'msedge.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 7416, 'vms': 25.1640625}
{'name': 'taskhostw.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 7428, 'vms': 29.08984375}
{'name': 'UserOOBEBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 7576, 'vms': 2.12109375}
{'name': 'svchost.exe', 'username': None, 'pid': 7724, 'vms': 2.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 7804, 'vms': 2.2734375}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 7824, 'vms': 10.46875}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 8012, 'vms': 23.6875}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 8040, 'vms': 5.44921875}
{'name': 'msedge.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8116, 'vms': 11.58984375}
{'name': 'svchost.exe', 'username': None, 'pid': 8128, 'vms': 8.4296875}
{'name': 'AppVShNotify.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8144, 'vms': 1.8203125}
{'name': 'svchost.exe', 'username': None, 'pid': 8188, 'vms': 1.79296875}
{'name': 'dllhost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8288, 'vms': 4.25}
{'name': 'cmd.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8328, 'vms': 4.61328125}
{'name': 'ApplicationFrameHost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8412, 'vms': 10.94140625}
{'name': 'SystemSettingsBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8496, 'vms': 6.8203125}
{'name': 'MoUsoCoreWorker.exe', 'username': None, 'pid': 8580, 'vms': 39.08984375}
{'name': 'svchost.exe', 'username': None, 'pid': 8680, 'vms': 7.82421875}
{'name': 'ctfmon.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 8780, 'vms': 4.17578125}
{'name': 'RuntimeBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 9080, 'vms': 5.55078125}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 9404, 'vms': 86.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 9556, 'vms': 1.78515625}
{'name': 'svchost.exe', 'username': None, 'pid': 9596, 'vms': 1.74609375}
{'name': 'RuntimeBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 9608, 'vms': 11.5625}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 9688, 'vms': 151.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 9844, 'vms': 5.71875}
{'name': 'svchost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 9964, 'vms': 11.34375}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 10108, 'vms': 6.0234375}
{'name': 'armsvc.exe', 'username': None, 'pid': 10320, 'vms': 1.578125}
{'name': 'svchost.exe', 'username': None, 'pid': 10376, 'vms': 2.87109375}
{'name': 'svchost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 10380, 'vms': 1.76953125}
{'name': 'csrss.exe', 'username': None, 'pid': 10908, 'vms': 2.7109375}
{'name': 'taskhostw.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 10948, 'vms': 10.4296875}
{'name': 'smartscreen.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 11004, 'vms': 7.58203125}
{'name': 'SynTPHelper.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 11020, 'vms': 1.0625}
