--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 10:45:16 2023
--------------------------------------------------------------------------------

{'name': 'svchost.exe', 'pid': 3300, 'username': None, 'vms': 1.90625}
{'name': 'svchost.exe', 'pid': 3304, 'username': None, 'vms': 3.1953125}
{'name': 'svchost.exe', 'pid': 3376, 'username': None, 'vms': 19.96484375}
{'name': 'svchost.exe', 'pid': 3460, 'username': None, 'vms': 2.61328125}
{'name': 'svchost.exe', 'pid': 3468, 'username': None, 'vms': 2.71484375}
{'name': 'svchost.exe', 'pid': 3516, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 11.78515625}
{'name': 'Code.exe', 'pid': 3544, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 27.3671875}
{'name': 'svchost.exe', 'pid': 3672, 'username': None, 'vms': 2.45703125}
{'name': 'svchost.exe', 'pid': 3744, 'username': None, 'vms': 6.0859375}
{'name': 'dasHost.exe', 'pid': 3808, 'username': None, 'vms': 0.93359375}
{'name': 'svchost.exe', 'pid': 3840, 'username': None, 'vms': 3.328125}
{'name': 'spoolsv.exe', 'pid': 3888, 'username': None, 'vms': 12.66015625}
{'name': 'svchost.exe', 'pid': 3924, 'username': None, 'vms': 11.4765625}
{'name': 'svchost.exe', 'pid': 3952, 'username': None, 'vms': 1.859375}
{'name': 'msedge.exe', 'pid': 3964, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 52.3046875}
{'name': 'svchost.exe', 'pid': 4036, 'username': None, 'vms': 9.546875}
{'name': 'svchost.exe', 'pid': 4108, 'username': None, 'vms': 1.50390625}
{'name': 'svchost.exe', 'pid': 4160, 'username': None, 'vms': 1.37109375}
{'name': 'svchost.exe', 'pid': 4208, 'username': None, 'vms': 1.375}
{'name': 'QcomWlanSrvx64.exe', 'pid': 4220, 'username': None, 'vms': 1.28515625}
{'name': 'svchost.exe', 'pid': 4228, 'username': None, 'vms': 4.99609375}
{'name': 'esif_uf.exe', 'pid': 4236, 'username': None, 'vms': 1.7734375}
{'name': 'svchost.exe', 'pid': 4244, 'username': None, 'vms': 3.72265625}
{'name': 'AdminService.exe', 'pid': 4252, 'username': None, 'vms': 2.16015625}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 4280, 'username': None, 'vms': 36.14453125}
{'name': 'shareitservice.exe', 'pid': 4296, 'username': None, 'vms': 19.2421875}
{'name': 'armsvc.exe', 'pid': 4304, 'username': None, 'vms': 1.56640625}
{'name': 'SynTPEnhService.exe', 'pid': 4312, 'username': None, 'vms': 1.30078125}
{'name': 'HPPrintScanDoctorService.exe', 'pid': 4336, 'username': None, 'vms': 1.53515625}
{'name': 'WavesSysSvc64.exe', 'pid': 4388, 'username': None, 'vms': 3.77734375}
{'name': 'svchost.exe', 'pid': 4416, 'username': None, 'vms': 3.046875}
{'name': 'MsMpEng.exe', 'pid': 4456, 'username': None, 'vms': 317.55078125}
{'name': 'WMIRegistrationService.exe', 'pid': 4476, 'username': None, 'vms': 2.4921875}
{'name': 'svchost.exe', 'pid': 4500, 'username': None, 'vms': 2.8046875}
{'name': 'svchost.exe', 'pid': 4520, 'username': None, 'vms': 1.21484375}
{'name': 'OfficeClickToRun.exe', 'pid': 4608, 'username': None, 'vms': 42.390625}
{'name': 'svchost.exe', 'pid': 4628, 'username': None, 'vms': 2.2265625}
{'name': 'MoUsoCoreWorker.exe', 'pid': 4644, 'username': None, 'vms': 5.7578125}
{'name': 'LMS.exe', 'pid': 4688, 'username': None, 'vms': 2.984375}
{'name': 'svchost.exe', 'pid': 4752, 'username': None, 'vms': 3.46875}
{'name': 'SynTPHelper.exe', 'pid': 4764, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.03125}
{'name': 'svchost.exe', 'pid': 4780, 'username': None, 'vms': 2.890625}
{'name': 'jhi_service.exe', 'pid': 4996, 'username': None, 'vms': 1.2734375}
{'name': 'GoogleCrashHandler.exe', 'pid': 5204, 'username': None, 'vms': 1.55078125}
{'name': 'chrome.exe', 'pid': 5380, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 27.3671875}
{'name': 'Code.exe', 'pid': 5400, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 173.25390625}
{'name': 'chrome.exe', 'pid': 5440, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 140.33984375}
{'name': 'svchost.exe', 'pid': 5516, 'username': None, 'vms': 1.50390625}
{'name': 'svchost.exe', 'pid': 5604, 'username': None, 'vms': 2.8125}
{'name': 'dllhost.exe', 'pid': 6012, 'username': None, 'vms': 2.99609375}
{'name': 'SearchIndexer.exe', 'pid': 6104, 'username': None, 'vms': 33.54296875}
{'name': 'RuntimeBroker.exe', 'pid': 6112, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 7.73046875}
{'name': 'svchost.exe', 'pid': 6224, 'username': None, 'vms': 4.48828125}
{'name': 'svchost.exe', 'pid': 6296, 'username': None, 'vms': 1.21484375}
{'name': 'svchost.exe', 'pid': 6324, 'username': None, 'vms': 5.9375}
